> seed 1
3 12 140
3 12 50
4 15 80
3 17 50
4 6 60
3 16 70
4 3 140
4 14 50
4 17 130
3 10 120
4 9 140
2 7 50
4 15 120
4 6 60
4 6 130
4 2 100
2 6 30
2 4 80
2 16 60
4 2 90
3 12 90
4 3 120
2 8 140
3 1 80
3 9 90
2 12 30
4 10 40
3 17 80
4 10 80
180 80 120 120 180 140 160 140 100 120 

> seed 6

100 10
4 3 100
3 2 30
2 16 150
4 12 80
2 9 100
2 14 110
4 4 60
4 9 130
4 3 90
3 3 80
3 9 100
4 4 150
2 10 40
2 7 130
3 16 60
4 17 30
4 12 60
4 14 70
3 4 40
4 17 60
2 9 70
4 7 90
3 8 50
4 7 140
4 1 60
2 1 130
3 10 80
3 17 90
3 5 130
3 2 50
3 13 40
3 8 150
2 15 100
3 3 110
3 16 70
4 14 40
2 9 100
3 6 30
2 4 70
4 12 60
3 17 100
3 17 70
3 14 120
3 9 120
3 16 100
2 13 100
3 15 80
3 6 120
3 9 80
4 13 100
4 6 70
4 1 120
3 2 50
2 4 130
4 12 80
3 2 60
2 9 120
2 14 150
4 16 40
3 8 40
3 12 50
4 8 120
3 5 30
4 4 140
2 2 130
3 15 140
2 1 140
4 5 120
2 6 120
4 9 130
3 16 140
2 5 60
3 16 150
3 15 110
3 16 140
4 3 150
3 12 70
3 2 40
4 9 70
3 16 90
3 12 30
4 3 60
4 8 110
4 2 140
2 11 80
2 2 140
2 14 80
2 6 140
4 4 90
4 5 100
4 16 130
2 5 40
3 17 30
2 17 140
2 6 70
4 5 110
4 13 150
2 8 140
4 5 90
4 6 150
100 80 140 140 60 180 180 140 120 80 

> seed 7

100 10
3 5 90
4 2 40
4 4 80
4 2 110
2 2 40
3 14 40
2 3 110
3 2 120
2 8 130
4 2 120
4 13 30
2 2 110
2 10 90
2 4 120
3 6 40
4 7 80
2 3 120
2 7 100
4 14 150
3 15 120
3 12 70
2 6 140
2 3 120
3 17 100
3 15 70
4 3 40
4 14 50
3 5 100
3 2 130
2 11 80
4 12 120
3 15 40
2 9 100
4 3 30
4 10 130
4 15 70
4 13 130
3 1 100
3 6 120
2 16 30
2 10 50
4 8 90
3 16 40
2 15 90
4 9 50
3 9 140
3 12 130
3 8 50
2 6 50
2 8 30
3 6 70
3 1 50
3 12 120
4 11 50
4 17 120
4 2 100
4 13 90
3 13 40
3 13 30
2 3 60
3 6 40
3 2 40
2 5 110
2 12 120
2 3 60
4 13 50
4 9 80
4 12 100
2 4 100
3 16 100
3 3 50
2 11 140
3 16 140
2 17 30
2 17 80
2 1 150
4 10 130
2 9 110
3 6 80
2 17 80
4 8 120
2 8 90
4 8 60
4 16 80
4 1 30
3 16 70
2 12 100
4 12 80
2 8 40
2 16 60
3 7 100
4 1 100
4 12 150
4 3 130
2 13 150
4 7 100
2 14 150
4 11 40
4 13 100
3 3 140
80 80 80 60 80 140 120 180 160 80 

> seed 8

100 10
2 12 90
2 7 140
2 3 50
2 17 60
3 1 100
3 15 90
3 7 90
2 16 60
2 9 110
3 16 90
4 4 130
3 4 40
3 13 40
4 2 80
2 3 100
4 17 60
4 5 120
2 2 100
4 7 50
4 15 140
4 15 70
4 12 90
2 6 150
4 4 110
4 11 140
3 16 110
4 7 70
2 12 110
3 17 130
2 17 140
4 8 80
2 1 70
3 8 70
2 14 70
3 10 140
3 6 130
3 4 50
4 1 60
2 10 40
2 13 80
2 14 60
2 14 120
3 14 90
2 3 70
4 4 30
2 4 150
4 17 80
2 17 100
4 5 120
2 7 30
2 11 90
4 4 140
3 12 80
3 1 130
3 7 30
4 2 150
4 6 50
3 14 100
2 3 60
4 8 100
3 5 90
2 4 120
4 15 130
2 15 110
4 3 140
3 13 80
3 8 30
2 2 100
2 4 60
4 1 140
4 1 130
3 14 110
2 17 140
4 7 110
2 11 110
3 17 130
2 1 70
4 10 40
4 11 90
2 10 40
4 14 140
3 11 110
3 12 150
3 4 60
3 12 90
4 10 60
3 13 120
3 17 140
4 12 130
4 12 130
3 7 100
4 17 40
3 6 40
3 9 90
2 9 70
3 17 70
3 14 60
3 8 60
4 15 60
2 17 60
100 120 180 60 180 60 120 60 160 80 

> seed 9

100 10
3 12 70
2 6 130
2 11 110
3 3 80
4 2 140
3 6 140
3 14 50
2 8 30
2 5 110
4 3 150
4 13 150
4 4 70
2 8 140
3 3 150
3 7 90
3 11 150
2 7 140
2 14 30
3 16 50
2 8 90
4 4 120
2 4 150
4 7 60
3 1 40
2 1 110
2 16 110
2 14 40
3 7 130
2 5 50
4 2 30
3 5 140
3 2 40
4 13 60
2 17 30
4 12 130
4 3 80
2 12 100
2 13 60
4 1 90
4 11 30
3 4 60
2 15 70
3 3 70
4 10 40
4 2 30
3 14 100
3 8 120
4 3 90
4 8 40
3 17 80
4 12 50
4 10 50
4 9 30
2 6 70
2 4 120
2 1 30
2 15 60
3 10 120
2 12 70
2 16 110
3 5 40
4 10 140
2 3 90
3 5 140
4 13 120
2 9 150
4 16 80
2 2 70
4 5 50
4 3 50
2 1 60
2 16 100
4 13 40
2 16 120
3 3 130
2 14 110
3 17 110
4 3 130
4 10 40
4 8 140
2 4 40
4 16 100
2 16 130
4 2 130
4 1 80
2 15 60
3 16 60
2 3 120
2 14 90
4 3 40
2 2 120
2 3 40
2 12 120
3 16 30
4 3 80
2 11 30
3 15 120
2 13 100
2 4 80
4 8 100
180 80 80 80 60 60 60 60 60 160 

> seed 10

100 10
4 2 90
3 1 60
3 16 70
4 6 30
4 16 80
2 8 140
3 2 90
2 12 90
3 10 130
3 15 50
4 10 130
3 5 100
2 15 120
3 2 120
2 8 50
2 10 110
3 8 80
4 15 90
3 3 130
4 11 110
2 8 90
2 2 30
3 10 120
4 3 110
2 5 90
4 12 120
2 4 150
2 15 50
2 12 90
3 15 60
4 9 50
4 17 50
2 9 100
3 6 130
4 6 150
2 16 150
3 11 90
2 1 110
4 2 80
3 8 40
3 15 90
4 6 90
3 8 140
4 9 110
3 16 40
2 16 130
3 13 50
3 12 110
3 16 140
2 15 40
3 2 30
3 3 30
3 3 50
2 15 150
3 5 100
3 17 100
3 9 150
4 15 90
3 17 110
2 8 80
4 2 130
2 16 30
2 10 90
2 10 40
2 4 70
2 16 50
3 13 150
2 12 50
2 7 90
2 4 130
3 15 140
4 17 140
3 15 130
4 7 70
4 12 40
4 1 60
3 14 90
4 7 40
3 3 30
3 9 80
3 14 150
2 10 100
4 10 110
3 17 70
3 15 130
3 12 140
3 16 100
3 16 40
4 12 150
4 13 150
2 14 140
4 3 120
4 10 30
4 11 130
3 3 140
3 12 70
4 6 60
2 10 40
4 2 60
4 3 90
80 140 140 120 180 180 140 60 120 80
