> seed 1
4 17 50
2 30 140
2 26 80
4 10 100
3 2 150
4 25 140
2 26 110
2 31 70
3 17 140
4 27 140
4 31 80
4 22 140
4 6 150
4 15 110
4 13 90
4 25 130
2 21 100
4 30 130
2 7 30
3 14 140
4 25 60
2 25 110
2 18 140
4 13 100
4 9 30
4 28 100
3 33 120
2 30 140
2 5 80
2 32 110
4 5 150
4 32 130
3 30 70
4 30 30
2 23 50
3 17 130
4 9 30
2 32 90
3 19 50
2 19 110
3 1 80
2 25 120
3 14 130
3 32 130
2 31 140
4 20 40
3 21 70
3 20 130
4 26 110
2 33 130
2 26 120
4 10 150
4 6 70
2 15 100
4 15 110
3 4 40
2 25 80
2 21 80
2 22 100
3 11 100
3 19 100
2 29 130
2 18 80
2 7 60
3 13 150
4 24 50
3 9 150
2 15 70
4 25 90
4 22 70
4 33 120
4 21 140
3 19 110
4 5 80
3 26 100
80 100 100 120 120 60 80 100 120 80 

> seed 3

200 10
2 9 80
4 31 130
4 5 120
2 31 70
4 15 60
4 31 110
4 31 90
4 10 60
4 10 110
3 1 130
2 11 150
4 3 70
2 18 100
4 25 140
3 26 140
4 29 50
3 7 30
2 32 60
3 28 150
4 20 90
4 25 120
3 27 120
2 22 130
2 18 120
4 11 140
3 7 140
4 14 130
4 18 70
2 5 100
4 31 40
3 5 90
2 2 70
3 27 40
2 3 90
4 22 110
3 33 60
2 20 30
2 7 120
4 3 60
3 19 120
3 10 140
2 22 80
3 9 90
3 30 110
3 7 120
4 18 90
4 16 70
3 17 110
3 22 30
3 21 30
3 9 30
4 22 100
3 23 120
4 18 140
3 2 120
2 2 80
3 30 70
4 21 50
3 12 80
3 17 70
3 7 150
2 9 70
4 15 130
3 16 80
2 28 130
4 7 40
4 21 80
4 15 100
2 6 80
4 14 120
3 18 60
2 3 110
2 21 150
4 12 70
3 6 150
4 23 120
2 27 70
4 18 100
3 27 70
3 27 30
3 10 60
2 31 120
4 28 110
4 15 30
4 30 150
4 19 110
3 15 40
4 19 40
2 3 30
4 33 60
3 4 30
3 8 50
4 20 60
4 2 110
4 27 30
4 8 80
2 17 110
3 4 80
2 13 40
4 8 50
2 18 150
2 1 100
4 26 30
3 16 70
4 28 30
3 21 150
2 4 150
2 3 40
2 5 100
2 6 110
4 32 80
2 21 40
3 25 130
3 20 80
3 13 80
3 8 50
4 1 140
4 25 150
2 12 30
3 30 120
4 25 130
2 28 30
3 32 150
4 21 90
4 27 100
2 16 60
4 18 140
4 5 150
3 15 90
2 2 80
3 17 40
3 8 140
4 25 130
2 21 120
4 7 150
4 1 100
2 16 150
3 3 110
2 7 130
3 12 30
3 8 30
2 31 140
3 20 150
2 3 150
4 33 110
4 16 40
4 7 110
2 21 120
2 5 60
2 16 100
4 26 70
3 26 80
4 27 40
3 33 60
3 11 90
4 31 50
4 26 50
2 7 100
4 31 140
4 29 120
4 12 50
3 13 50
4 33 80
2 19 130
4 27 120
4 18 60
3 2 70
3 25 60
2 24 60
3 31 150
2 27 140
3 14 100
4 2 100
4 5 90
4 3 100
2 16 130
4 5 60
3 16 60
3 9 50
4 3 70
2 3 80
2 28 40
4 6 40
2 17 70
2 23 100
4 22 30
2 22 80
3 25 100
2 14 130
4 32 90
2 21 40
3 5 130
3 8 100
4 17 40
4 24 130
3 29 70
4 17 40
3 8 130
3 33 80
2 19 130
160 140 160 80 160 160 160 160 80 80 

> seed 4

200 10
2 20 40
4 26 100
2 6 40
2 26 110
3 4 60
4 24 70
2 7 70
2 2 130
3 18 60
2 20 70
4 24 40
4 22 130
3 33 60
2 16 100
3 6 110
3 1 70
4 20 150
4 13 90
3 19 90
3 11 60
3 17 150
2 6 30
3 18 110
4 31 140
3 10 130
2 5 90
2 29 70
2 23 90
4 21 130
4 13 80
2 4 140
2 18 150
4 16 40
3 12 70
3 2 30
3 6 70
4 21 30
3 19 80
2 27 120
4 5 70
4 13 100
3 9 70
3 11 80
4 1 80
2 30 50
3 24 70
4 7 100
2 28 60
2 4 30
2 11 120
4 10 120
2 32 120
2 21 30
2 19 150
3 13 100
2 16 100
3 32 30
2 27 100
2 28 60
3 13 30
2 17 70
2 14 150
2 27 70
2 21 30
3 8 120
3 3 100
3 6 90
2 11 80
3 31 150
4 21 90
4 14 130
4 18 80
3 32 40
3 13 30
3 9 150
3 4 50
4 30 120
3 26 90
2 1 60
2 1 120
3 8 90
3 15 110
2 13 50
4 22 110
3 29 30
2 3 140
4 8 100
4 17 120
2 3 80
2 1 70
3 5 40
4 30 90
2 20 90
2 32 90
2 5 40
4 24 110
3 27 140
3 5 130
2 20 100
3 8 150
4 11 80
2 12 140
2 21 100
3 17 110
2 11 30
4 20 40
4 8 100
4 31 110
2 16 90
3 23 60
2 1 130
2 21 110
3 20 110
3 29 90
2 17 150
4 24 130
3 9 90
2 10 130
4 12 70
3 13 120
3 6 40
3 12 80
4 24 80
2 20 30
4 2 110
2 23 150
2 11 50
4 32 130
4 5 150
2 12 130
3 15 120
4 20 140
3 16 100
4 15 70
3 15 140
3 29 150
3 33 90
3 19 100
3 1 70
2 30 140
4 24 90
3 2 50
4 5 100
4 23 120
3 6 150
3 31 60
4 31 120
2 10 60
2 20 50
2 11 90
4 17 30
4 16 50
2 14 30
3 6 40
3 4 130
3 12 140
2 27 50
4 6 110
3 1 140
4 10 110
3 10 60
3 31 110
2 25 50
2 17 110
3 20 90
3 11 90
2 28 30
3 2 70
2 6 50
2 1 60
2 1 100
4 12 100
4 25 80
2 13 40
3 23 70
4 27 120
4 3 130
2 17 120
4 20 150
3 22 150
2 16 80
2 3 120
3 31 80
2 12 140
2 32 110
4 16 30
2 5 80
4 9 140
3 8 110
4 1 40
2 18 120
2 3 30
3 10 60
3 16 140
4 23 70
3 26 30
2 27 100
2 33 110
3 19 150
2 28 80
80 80 60 120 120 100 100 180 120 160 

> seed 5

200 10
4 17 140
3 2 100
2 4 50
2 24 100
2 25 110
2 16 30
4 14 90
3 12 150
3 11 150
2 9 120
4 29 50
2 1 30
2 14 50
2 19 80
2 14 50
4 13 90
3 2 80
3 11 50
3 5 80
3 1 120
4 22 40
3 23 70
3 21 50
3 31 140
2 4 70
2 23 90
2 27 80
3 1 100
2 12 120
2 8 150
2 30 80
4 23 110
3 30 40
4 24 70
2 28 40
2 22 110
4 24 50
3 18 140
4 6 70
4 21 70
2 6 130
2 20 100
2 4 40
4 26 30
2 23 70
3 27 50
2 3 150
3 22 60
2 9 130
3 7 50
3 24 50
2 27 70
2 30 120
2 30 100
4 21 100
3 19 100
3 10 40
3 12 130
3 22 50
2 32 70
4 33 80
2 23 140
4 3 150
3 24 110
4 18 100
3 19 80
4 12 120
2 31 110
3 21 130
3 30 70
4 23 80
3 23 140
3 23 50
4 29 80
3 10 110
2 13 80
3 19 140
2 27 50
4 27 70
4 18 140
2 13 50
4 29 120
4 12 60
4 12 130
4 3 100
2 11 30
2 8 80
2 31 60
4 3 90
3 23 90
4 5 120
2 16 140
3 1 80
3 18 90
2 24 30
4 20 40
3 33 80
4 19 80
2 27 90
4 24 100
2 11 120
3 31 60
2 6 80
4 1 90
2 21 120
4 10 80
4 25 90
3 15 100
3 31 140
3 25 50
4 17 140
3 32 70
3 2 80
3 32 70
2 31 30
2 29 60
3 3 150
2 26 30
3 18 60
3 3 60
3 18 50
4 19 70
3 31 110
4 8 30
2 20 70
4 22 120
3 2 100
3 24 130
4 9 30
2 17 110
3 7 130
4 13 30
3 28 120
4 31 90
3 26 130
4 13 70
3 5 70
2 28 120
3 31 70
2 11 100
4 32 80
4 10 90
4 4 40
4 15 70
2 5 130
2 22 140
3 5 90
4 32 30
2 8 60
4 8 140
2 19 140
3 10 50
4 12 90
2 5 120
2 3 110
2 25 140
2 18 30
4 8 140
3 9 30
3 6 80
4 32 100
3 24 30
2 19 50
4 33 70
4 15 70
2 16 70
3 9 150
2 24 100
4 25 50
2 2 130
3 6 120
4 3 40
2 33 120
3 16 90
3 31 80
2 2 110
4 25 30
2 28 130
2 8 40
4 32 60
2 25 80
2 19 80
4 23 150
3 25 50
4 23 130
3 28 80
4 3 120
4 14 140
2 26 40
2 3 30
2 13 60
2 32 100
4 23 30
3 31 70
4 28 80
3 30 40
2 10 130
2 5 80
3 31 50
4 17 40
100 180 80 180 100 160 80 60 120 60 

> seed 6

200 10
4 6 100
3 3 30
2 31 150
4 24 80
2 18 100
2 27 110
4 7 60
4 17 130
4 6 90
3 6 80
3 17 100
4 7 150
2 19 40
2 13 130
3 32 60
4 33 30
4 24 60
4 28 70
3 8 40
4 13 40
4 18 70
4 13 90
3 15 50
4 14 140
4 1 60
2 2 130
3 20 80
3 25 70
2 32 30
2 28 120
4 26 40
3 16 150
2 29 100
3 5 110
3 31 70
4 27 40
2 18 100
3 12 30
2 8 70
4 24 60
3 33 100
3 17 90
3 32 70
4 31 130
3 32 50
4 25 100
3 30 80
3 11 120
3 18 80
4 26 100
4 11 70
4 1 120
3 4 50
2 8 130
4 24 80
3 4 60
2 18 120
2 28 150
4 32 40
3 15 40
3 24 50
4 16 120
3 10 30
4 7 140
2 3 130
3 30 140
2 2 140
4 9 120
2 11 120
4 17 130
3 32 140
2 9 60
3 31 150
3 29 110
3 31 140
4 5 150
3 24 70
3 3 40
4 18 70
3 31 90
3 24 30
4 6 60
4 16 110
4 3 140
2 22 80
2 4 140
2 28 80
2 11 140
4 8 90
4 9 100
4 32 130
2 9 40
3 2 50
4 10 50
3 10 110
4 25 150
2 15 140
4 9 90
4 11 150
3 16 110
4 1 150
4 25 60
3 25 110
3 1 90
4 9 140
2 24 70
4 12 50
2 9 90
2 4 30
2 31 150
2 8 130
4 7 130
3 3 30
4 15 150
3 15 150
4 19 40
3 5 140
4 4 50
4 29 40
2 12 30
4 2 150
4 28 130
4 19 70
3 15 60
4 14 70
4 1 70
4 22 150
4 6 120
4 3 80
3 8 60
2 24 140
3 28 130
2 23 50
2 1 80
2 32 30
3 17 40
4 18 60
2 9 90
4 12 60
4 25 120
3 31 70
3 9 70
2 13 150
3 7 150
2 7 150
2 33 50
2 10 120
3 31 100
4 31 60
4 25 50
3 1 80
3 17 80
2 19 80
4 24 60
2 20 50
2 27 120
4 15 130
2 13 90
3 9 150
2 4 110
4 32 80
3 25 70
4 5 70
2 3 40
4 10 110
4 8 150
4 6 40
4 8 60
3 22 50
4 16 50
2 15 130
2 31 140
3 8 140
4 9 100
2 24 140
2 22 130
3 5 70
2 4 130
2 31 130
3 21 30
2 18 140
2 25 120
3 7 140
3 10 150
2 24 130
3 26 150
2 10 40
3 24 30
2 31 70
2 31 40
3 13 150
4 11 100
3 17 150
4 23 70
4 18 100
4 3 110
4 16 130
4 1 110
3 17 50
2 21 30
180 80 140 100 80 80 100 60 100 160 

> seed 7

200 10
3 10 90
4 4 40
4 7 80
4 4 110
2 3 40
3 27 40
2 6 110
3 4 120
2 15 130
4 4 120
4 26 30
2 3 110
2 19 90
2 8 120
3 12 40
4 13 80
2 5 120
2 14 100
4 28 150
3 30 120
3 24 70
2 12 140
2 6 120
3 32 80
4 29 70
4 5 40
4 27 50
3 10 100
3 3 130
2 21 80
4 23 120
3 30 40
2 18 100
4 5 30
4 20 130
4 29 70
4 25 130
3 2 100
3 11 120
2 32 30
2 19 50
4 16 90
3 32 40
2 29 90
4 18 50
3 18 140
3 23 130
3 15 50
2 12 50
2 15 30
3 12 70
3 1 50
3 24 120
4 21 50
4 33 120
4 4 100
4 26 90
3 26 40
3 26 30
2 5 60
3 11 40
3 4 40
2 10 110
2 24 120
2 5 60
4 25 50
4 17 80
4 24 100
2 8 100
3 31 100
3 6 50
2 22 140
3 31 140
2 2 60
4 24 50
4 2 150
4 20 130
2 17 110
3 11 80
2 33 80
4 15 120
2 16 90
4 15 60
4 32 80
4 2 30
3 31 70
2 23 100
4 23 80
2 15 40
2 31 60
3 14 100
4 1 100
4 23 150
4 6 130
2 25 150
4 13 100
2 28 150
4 22 40
4 26 100
3 6 140
2 11 50
2 10 120
3 10 120
4 31 130
3 10 110
4 9 30
2 7 110
4 9 90
2 14 30
3 14 70
4 16 150
4 21 70
4 27 50
2 23 100
4 27 110
2 10 110
4 2 100
2 1 150
2 12 50
3 8 110
2 21 130
4 31 150
2 4 60
2 18 30
2 33 100
4 2 150
2 29 80
4 33 120
4 13 140
3 29 110
4 31 110
2 17 110
2 29 50
3 8 90
3 21 40
4 16 90
2 14 130
3 8 150
2 24 50
3 9 100
2 7 90
3 11 130
2 11 140
3 33 90
3 27 60
3 21 40
4 24 30
3 30 100
4 2 90
3 19 110
2 8 150
2 7 40
3 18 30
2 18 150
2 28 130
3 26 50
4 33 120
3 21 40
3 4 150
4 12 90
2 18 30
4 6 150
3 6 120
2 5 70
2 30 30
3 27 70
4 9 30
4 16 40
2 17 30
2 13 70
4 20 110
2 19 100
4 12 70
3 2 70
2 1 30
4 33 110
2 33 100
2 29 40
4 28 130
3 26 110
3 14 60
3 13 140
4 9 90
3 4 50
2 5 130
4 17 90
2 4 40
4 25 110
4 19 120
2 19 30
3 12 50
3 29 30
3 24 80
4 21 60
2 20 60
3 12 30
3 25 40
3 18 110
4 13 60
4 1 40
100 180 60 80 120 140 60 120 60 100 

> seed 8

200 10
2 24 90
2 13 140
2 6 50
2 33 60
3 2 100
3 30 90
3 13 90
2 32 60
2 18 110
3 31 90
4 8 130
3 7 40
3 25 40
4 4 80
2 6 100
4 14 120
2 5 110
2 32 140
2 10 120
3 29 70
4 23 90
2 11 150
4 7 110
4 21 140
3 32 110
4 13 70
2 23 110
3 33 130
2 33 140
4 15 80
2 1 70
3 15 70
2 28 70
3 20 140
3 12 130
3 8 50
4 2 60
2 20 40
2 25 80
2 28 60
2 27 120
3 27 90
2 5 70
4 7 30
2 7 150
4 24 50
4 32 140
2 5 60
2 9 80
3 8 140
3 23 80
3 1 130
3 14 30
4 3 150
4 12 50
3 28 100
2 6 60
4 15 100
3 10 90
2 7 120
4 29 130
2 29 110
4 6 140
3 26 80
3 15 30
2 4 100
2 7 60
4 1 140
4 2 130
3 28 110
2 33 140
4 13 110
2 21 110
3 13 30
3 19 40
4 21 90
2 19 40
4 27 140
3 21 110
3 23 150
3 7 60
3 24 90
4 20 60
3 26 120
3 23 130
4 24 130
3 13 100
4 33 40
3 11 40
3 18 90
2 18 70
3 33 70
3 27 60
3 16 60
4 30 60
2 13 80
3 7 150
2 25 40
4 11 150
4 28 30
2 2 120
2 17 40
2 30 100
4 19 120
2 9 120
3 5 80
2 6 50
4 24 40
2 3 120
3 15 70
4 23 80
2 8 140
4 23 90
2 11 70
3 10 90
4 5 40
4 15 40
3 12 80
4 13 40
2 4 110
4 12 50
4 21 70
2 33 100
2 6 50
4 9 60
3 14 90
2 11 50
3 4 140
3 19 90
3 24 140
4 32 80
4 12 70
3 31 50
3 32 130
4 33 70
2 26 150
2 32 130
3 8 70
3 3 30
3 33 70
3 25 140
2 10 140
2 6 50
3 9 150
3 7 80
4 3 120
4 24 80
2 21 130
2 31 50
4 16 100
3 23 80
3 24 140
4 3 140
2 21 30
2 15 110
3 31 80
3 12 70
2 18 150
2 29 140
3 17 100
3 19 90
3 29 130
4 6 100
4 29 80
2 7 80
4 30 80
3 25 60
4 12 150
2 33 30
2 20 60
2 26 70
2 8 30
2 29 140
2 21 80
2 1 140
2 9 120
3 20 30
2 14 80
3 6 90
2 1 130
2 33 60
3 27 40
3 33 50
2 10 130
4 23 120
3 4 70
3 13 30
3 5 150
3 21 140
2 15 30
3 20 70
3 18 120
2 26 150
2 14 60
2 32 50
4 21 60
4 6 90
3 33 110
4 32 100
4 24 120
80 140 80 120 60 80 140 180 100 140 

> seed 9

200 10
3 24 70
2 12 130
2 22 110
3 6 80
4 3 140
3 11 140
3 28 50
2 16 30
2 9 110
4 5 150
4 25 150
4 7 70
2 15 140
3 6 150
3 14 90
3 22 150
2 13 140
2 27 30
3 32 50
2 16 90
4 8 120
2 8 150
4 13 60
3 1 40
2 2 110
2 32 110
2 27 40
3 13 130
2 10 50
4 3 30
3 10 140
3 3 40
4 26 60
2 33 30
4 24 130
4 6 80
2 24 100
2 26 60
4 2 90
4 22 30
3 8 60
2 29 70
3 6 70
4 19 40
4 4 30
3 28 100
3 16 120
4 5 90
4 15 40
3 33 80
4 24 50
4 19 50
4 17 30
2 12 70
2 8 120
2 1 30
2 29 60
3 19 120
2 23 70
2 31 110
3 9 40
4 19 140
2 5 90
3 10 140
4 25 120
2 18 150
4 32 80
2 4 70
4 9 50
4 6 50
2 1 60
2 31 100
4 25 40
2 31 120
3 5 130
2 28 110
3 5 130
4 20 40
4 15 140
2 7 40
4 32 100
2 32 130
4 4 130
4 2 80
2 30 60
3 32 60
2 6 120
2 27 90
4 5 40
2 3 120
2 6 40
2 23 120
3 31 30
4 5 80
2 21 30
3 29 120
2 25 100
2 7 80
4 15 100
2 13 60
2 8 30
2 5 130
2 24 40
4 2 100
4 13 80
4 6 60
2 17 150
4 13 30
3 17 120
2 7 110
3 4 70
3 21 120
2 4 130
3 9 70
2 12 80
3 1 70
2 2 80
3 16 90
4 21 100
4 23 90
3 14 40
3 20 100
3 30 100
3 12 80
3 4 80
2 11 80
4 2 60
2 24 130
2 6 80
3 25 60
4 22 40
2 27 100
2 21 150
4 33 40
3 1 70
4 14 40
2 1 80
2 6 50
3 11 140
2 33 150
3 26 90
4 33 50
4 23 80
3 13 80
3 12 150
4 12 120
2 1 70
4 2 70
3 28 150
2 18 70
2 29 100
4 15 50
3 10 140
4 23 140
4 4 110
3 23 30
4 12 110
4 7 100
2 22 60
4 9 90
2 33 60
4 28 30
4 4 150
4 23 100
3 4 80
3 30 90
4 13 110
2 11 120
2 23 70
2 31 110
2 1 130
4 22 130
2 12 30
2 13 130
3 19 140
2 22 70
3 3 40
3 16 100
3 3 80
2 10 120
4 13 130
4 25 150
4 10 90
2 26 50
3 27 100
4 12 130
4 7 110
3 17 70
3 23 110
2 13 140
2 30 70
2 14 30
2 30 140
2 17 70
3 15 30
2 27 70
3 23 80
4 11 110
4 2 50
4 14 40
60 80 60 100 180 160 120 100 100 140 

> seed 10

200 10
4 3 90
3 1 60
3 32 70
4 11 30
4 32 80
2 16 140
3 3 90
2 23 90
3 19 130
3 30 50
4 20 130
3 9 100
2 29 120
3 3 120
2 16 50
2 20 110
3 16 80
4 29 90
3 5 130
4 21 110
2 15 90
2 3 30
3 20 120
4 5 110
2 10 90
4 24 120
2 8 150
2 29 50
2 23 90
3 29 60
4 18 50
4 12 40
3 30 70
2 12 150
2 31 150
3 21 90
2 1 110
4 3 80
3 16 40
3 29 90
4 11 90
3 16 140
4 18 110
3 32 40
2 32 130
3 26 50
3 23 110
3 32 140
2 29 40
3 3 30
3 5 30
3 6 50
2 30 150
3 9 100
3 33 100
3 17 150
4 30 90
3 10 140
2 21 120
2 13 130
4 31 30
2 19 90
2 19 40
2 7 70
2 31 50
3 26 150
2 23 50
2 13 90
2 7 130
3 30 140
4 28 100
4 14 70
4 24 40
4 1 60
3 27 90
4 13 40
3 6 30
3 17 80
3 28 150
2 19 100
4 19 110
3 33 70
3 29 130
3 23 140
3 31 100
3 31 40
4 24 150
4 26 150
2 27 140
4 5 120
4 20 30
4 21 130
3 5 140
3 24 70
4 12 60
2 20 40
4 4 60
4 5 90
2 29 150
4 2 90
2 22 120
2 21 30
4 4 30
4 24 90
3 11 150
2 8 120
3 11 30
4 33 150
3 6 90
3 23 30
2 29 140
3 29 140
3 12 80
3 22 110
4 30 90
2 7 90
4 10 30
2 13 120
3 24 110
3 4 120
2 11 70
2 4 120
2 7 130
4 24 50
3 3 90
4 28 40
3 13 100
2 11 90
3 22 30
2 12 120
4 27 50
4 26 40
3 8 60
2 28 140
4 20 140
3 7 80
4 31 120
2 19 30
4 11 130
3 15 40
4 31 40
4 26 120
2 19 80
2 13 120
4 2 40
3 3 30
4 28 80
2 4 80
3 31 150
2 2 60
2 19 60
2 16 90
4 27 110
2 9 30
2 2 30
4 12 40
4 25 40
2 28 140
4 12 120
3 4 110
2 4 140
3 30 100
3 12 30
3 30 100
4 24 130
2 9 70
3 12 40
3 1 50
3 6 110
3 10 150
2 8 70
4 22 150
2 17 130
4 28 110
2 4 130
2 4 130
2 1 60
2 20 140
3 10 30
3 8 100
3 30 100
2 10 30
3 10 100
4 12 80
4 31 50
2 32 120
3 11 100
4 18 60
3 23 130
4 25 50
4 21 140
3 9 30
3 4 130
3 4 90
4 6 140
4 3 50
2 1 80
3 15 130
3 6 40
2 24 150
120 120 100 80 160 80 180 160 120 140
