> seed 1
2 6 100
2 7 110
2 4 30
4 4 90
3 3 150
3 3 150
2 3 120
4 8 50
2 1 30
2 4 50
2 5 80
2 4 50
4 4 90
3 1 80
3 3 50
3 2 80
3 1 120
4 6 40
3 6 70
3 6 50
3 8 140
2 1 70
2 6 90
2 7 80
3 1 100
2 3 120
2 2 150
2 8 80
4 6 110
3 8 40
4 6 70
2 7 40
2 6 110
4 6 50
3 5 140
4 2 70
4 6 70
2 2 130
2 5 100
2 1 40
4 7 30
2 6 70
3 7 50
2 1 150
3 6 60
2 3 130
3 2 50
120 100 80 60 180 120 100 80 

> seed 6

50 8
4 2 100
3 1 30
2 8 150
4 6 80
2 5 100
2 7 110
4 2 60
4 5 130
4 2 90
3 2 80
3 5 100
4 2 150
2 5 40
2 4 130
3 8 60
4 1 130
3 4 120
3 5 80
4 2 40
4 4 40
4 5 70
4 4 90
3 4 50
4 4 140
4 1 60
2 1 130
3 5 80
3 7 70
2 8 30
2 7 120
4 7 40
3 4 150
2 8 100
3 2 110
3 8 70
4 7 40
2 5 100
3 3 30
2 2 70
4 6 60
3 8 80
4 5 90
3 8 70
4 8 130
3 8 50
4 7 100
3 8 80
3 3 120
3 5 80
4 7 100
160 180 80 180 100 140 60 140 

> seed 7

50 8
3 3 90
4 1 40
4 2 80
4 1 110
2 1 40
3 7 40
2 2 110
3 1 120
2 4 130
4 1 120
4 7 30
2 1 110
2 5 90
2 2 120
3 3 40
4 4 80
2 2 120
2 4 100
4 7 150
3 8 120
3 6 70
2 3 140
2 2 120
3 8 80
4 8 70
4 2 40
4 7 50
3 3 100
3 1 130
2 6 80
4 6 120
3 8 40
2 5 100
4 2 30
4 5 130
4 8 70
4 7 130
3 1 100
3 3 120
2 8 30
2 5 50
4 4 90
3 8 40
2 8 90
4 5 50
3 5 140
3 6 130
3 4 50
2 3 50
2 4 30
120 180 140 80 100 100 60 80 

> seed 8

50 8
2 6 90
2 4 140
2 2 50
2 4 90
4 1 100
3 8 90
3 4 90
2 8 60
2 5 110
3 8 90
4 2 130
3 2 40
3 7 40
4 1 80
2 2 100
4 4 120
2 2 110
2 8 140
2 3 120
3 8 70
4 6 90
2 3 150
4 2 110
4 6 140
3 8 110
4 4 70
2 6 110
3 2 150
4 4 80
2 1 70
3 4 70
2 7 70
3 5 140
3 3 130
3 2 50
4 1 60
2 5 40
2 7 80
2 7 60
2 7 120
3 7 90
2 2 70
4 2 30
2 2 150
4 6 50
4 8 140
2 2 60
2 3 80
3 2 140
3 6 80
100 60 160 180 120 80 60 140 

> seed 9

50 8
3 6 70
2 3 130
2 6 110
3 2 80
4 1 140
3 3 140
3 7 50
2 4 30
2 3 110
4 2 150
4 7 150
4 2 70
2 4 140
3 2 150
3 4 90
3 6 150
2 4 140
2 7 30
3 8 50
2 4 90
4 2 120
2 2 150
4 4 60
3 1 40
2 1 110
2 8 110
2 7 40
3 4 130
2 3 50
4 1 30
3 3 140
3 1 40
4 7 60
2 1 140
3 2 80
2 6 100
2 7 60
4 1 90
4 6 30
3 2 60
2 8 70
3 2 70
4 5 40
4 1 30
3 7 100
3 4 120
4 2 90
4 4 40
3 6 110
3 3 130
100 80 160 180 100 60 60 180 

> seed 10

50 8
4 1 90
3 1 60
3 8 70
4 3 30
4 8 80
2 4 140
3 1 90
2 6 90
3 5 130
3 8 50
4 5 130
3 3 100
2 8 120
3 1 120
2 4 50
2 5 110
3 4 80
4 8 90
3 2 130
4 6 110
2 4 90
2 1 30
3 5 120
4 2 110
2 3 90
4 6 120
2 2 150
2 8 50
2 6 90
3 8 60
4 5 50
4 3 40
3 8 70
2 3 150
2 8 150
3 6 90
2 1 110
4 1 80
3 4 40
3 8 90
4 3 90
3 4 140
4 5 110
3 8 40
2 8 130
3 7 50
3 6 110
3 8 140
2 8 40
3 1 30
120 140 60 60 100 60 80 60
